,mean daily returns,volitility,ticker,sector,name
NTAP daily returns,-0.19016280643015646,0.44778941675728906,NTAP,Information Technology,"Nasdaq, Inc."
NFLX daily returns,0.3309596533474541,0.4020747112294725,NFLX,Information Technology,National Oilwell Varco Inc.
NWL daily returns,-0.1279648103964867,0.5282615398766969,NWL,Consumer Discretionary,Navient
NEM daily returns,0.3862320154791825,0.3521207009671293,NEM,Materials,Nektar Therapeutics
NWSA daily returns,-0.16244004281806257,0.3556351291923552,NWSA,Consumer Discretionary,NetApp
NWS daily returns,-0.17969083602074562,0.35746204463297476,NWS,Consumer Discretionary,Netflix Inc.
NEE daily returns,0.29622348729225917,0.327735052636069,NEE,Utilities,Newell Brands
NLSN daily returns,-0.37124645651948207,0.4212547310375303,NLSN,Industrials,Newfield Exploration Co
NKE daily returns,0.12690946478508006,0.33724837810998604,NKE,Consumer Discretionary,Newmont Mining Corporation
NI daily returns,0.03403864818738071,0.3475760714580026,NI,Utilities,News Corp. Class A
NBL daily returns,-0.5376430764661158,0.8074577357443317,NBL,Energy,News Corp. Class B
JWN daily returns,-0.7844596964228086,0.5857970626799831,JWN,Consumer Discretionary,NextEra Energy
NSC daily returns,0.06138193184815828,0.3998421579902649,NSC,Industrials,Nielsen Holdings
NTRS daily returns,0.031176638504769726,0.4086084604332641,NTRS,Financials,Nike
NOC daily returns,0.2584224415037632,0.34223676928284674,NOC,Industrials,NiSource Inc.
NCLH daily returns,-0.8938833201498451,0.8145775317505354,NCLH,Consumer Discretionary,Noble Energy Inc
NRG daily returns,-0.18070048521098603,0.384577137621638,NRG,Utilities,Nordstrom
NUE daily returns,-0.17764548082749743,0.3906394279774012,NUE,Materials,Norfolk Southern Corp.
NVDA daily returns,0.6387217549169611,0.5291763142529109,NVDA,Information Technology,Northern Trust Corp.
ORLY daily returns,-0.04292736821637559,0.36057707586568033,ORLY,Consumer Discretionary,Northrop Grumman Corp.
OXY daily returns,-0.8975164997410251,0.7030661186941843,OXY,Energy,Norwegian Cruise Line
OMC daily returns,-0.1857262996574776,0.31619019208789106,OMC,Consumer Discretionary,NRG Energy
OKE daily returns,-0.41932884775212126,0.6875067642256396,OKE,Energy,Nucor Corp.
ORCL daily returns,0.1484962464773921,0.36047959150953784,ORCL,Information Technology,Nvidia Corporation
PCAR daily returns,0.1318094838949235,0.3209811209416142,PCAR,Industrials,O'Reilly Automotive
PKG daily returns,0.10256185290190079,0.3575819076575669,PKG,Materials,Occidental Petroleum
PH daily returns,-0.043344785472730685,0.47283534009964295,PH,Industrials,Omnicom Group
PAYX daily returns,0.047486455309697195,0.3856345051128851,PAYX,Information Technology,ONEOK
PNR daily returns,-0.12960568382257956,0.4069587686354771,PNR,Industrials,Oracle Corp.
PBCT daily returns,-0.14605363610485825,0.3992112808623672,PBCT,Financials,PACCAR Inc.
PEP daily returns,0.1581407672825107,0.31029572402489375,PEP,Consumer Staples,Packaging Corporation of America
PRGO daily returns,0.12132146940102287,0.4310151915782518,PRGO,Health Care,Parker-Hannifin
PFE daily returns,-0.15701561413981643,0.28011938691623406,PFE,Health Care,Paychex Inc.
PCG daily returns,0.12690963685889836,1.3784271239864958,PCG,Utilities,PayPal
PM daily returns,0.18745785406167262,0.35412109376562484,PM,Consumer Staples,Pentair Ltd.
PSX daily returns,-0.31397881709527703,0.4313216230053768,PSX,Energy,People's United Financial
PNW daily returns,-0.0060269336229859865,0.34152714397786055,PNW,Utilities,PepsiCo Inc.
PXD daily returns,-0.2474769150814458,0.626484732546255,PXD,Energy,PerkinElmer
RL daily returns,-0.25187329573308737,0.4244259272605778,RL,Consumer Discretionary,Perrigo
PPG daily returns,-0.11672075661411939,0.33197259343529817,PPG,Materials,Pfizer Inc.
PFG daily returns,-0.22934890031412697,0.47548227792654524,PFG,Financials,PG&E Corp.
PG daily returns,0.23002163173265788,0.29076828792554493,PG,Consumer Staples,Philip Morris International
PGR daily returns,0.27760666235709075,0.3196668013338455,PGR,Financials,Phillips 66
PLD daily returns,0.305000302917411,0.362198588413416,PLD,Real Estate,Pinnacle West Capital
PRU daily returns,-0.27402486228115386,0.49102411799587026,PRU,Financials,Pioneer Natural Resources
PEG daily returns,-0.03170028559025066,0.2824109359932049,PEG,Utilities,PNC Financial Services
PSA daily returns,0.044750379891969595,0.2844660657642451,PSA,Real Estate,Polo Ralph Lauren Corp.
PHM daily returns,-0.05066554545508621,0.4766292569573697,PHM,Consumer Discretionary,PPG Industries
PVH daily returns,-0.624550690442913,0.5801143789261555,PVH,Consumer Discretionary,PPL Corp.
QRVO daily returns,0.28142177511084004,0.4859604547008151,QRVO,Information Technology,Praxair Inc.
QCOM daily returns,0.2698420150038402,0.4823448257631781,QCOM,Information Technology,Principal Financial Group
PWR daily returns,0.12318781992841181,0.38245705988104683,PWR,Industrials,Procter & Gamble
DGX daily returns,0.02031008163152004,0.3119868030692901,DGX,Health Care,Progressive Corp.
RRC daily returns,-0.8461924588142361,0.8283471748449092,RRC,Energy,Prologis
RJF daily returns,-0.0529194053713506,0.42971473192247045,RJF,Financials,Prudential Financial
RTN daily returns,-0.08235243430909849,0.38802489573309,RTN,Industrials,Public Serv. Enterprise Inc.
O daily returns,-0.09991649022483591,0.4493809487477579,O,Real Estate,Public Storage
REG daily returns,-0.2939019177999216,0.3700550205512412,REG,Real Estate,Pulte Homes Inc.
REGN daily returns,0.29493177327471576,0.366582047922439,REGN,Health Care,PVH Corp.
RF daily returns,-0.2301539498540759,0.48144344167153824,RF,Financials,Qorvo
RSG daily returns,0.08568261709442027,0.2752412432028215,RSG,Industrials,QUALCOMM Inc.
RMD daily returns,0.3332885815489151,0.451869190444722,RMD,Health Care,Quanta Services Inc.
RHI daily returns,-0.2294630992019467,0.3807489089459338,RHI,Industrials,Quest Diagnostics
ROK daily returns,0.10101580953464406,0.43875658997775935,ROK,Industrials,Range Resources Corp.
ROP daily returns,0.1512167716759505,0.33995601262122555,ROP,Industrials,Raymond James Financial Inc.
ROST daily returns,0.047698007035695336,0.39719563788057805,ROST,Consumer Discretionary,Raytheon Co.
RCL daily returns,-0.777318861966999,0.7018492419970543,RCL,Consumer Discretionary,Realty Income Corporation
SPGI daily returns,0.35270784124565085,0.3848036005536736,SPGI,Financials,Regency Centers Corporation
SLB daily returns,-0.5588215425160944,0.5588938957477216,SLB,Energy,Regeneron
SRE daily returns,0.07397547856028286,0.3546640838763383,SRE,Utilities,Regions Financial Corp.
SHW daily returns,0.13643263914281567,0.3599964406820675,SHW,Materials,Republic Services Inc
SWKS daily returns,0.30196626665217946,0.4941431460624348,SWKS,Information Technology,ResMed
SLG daily returns,-0.41967310310765155,0.41872004920332145,SLG,Real Estate,Robert Half International
SNA daily returns,-0.20258271420055038,0.3475680587334427,SNA,Consumer Discretionary,Rockwell Automation Inc.
SO daily returns,0.24072309478788148,0.36483575858594247,SO,Utilities,Rockwell Collins
SWK daily returns,-0.04338943818291563,0.5264682351626592,SWK,Consumer Discretionary,Roper Technologies
SBUX daily returns,0.08688535946994688,0.36434685786311133,SBUX,Consumer Discretionary,Ross Stores
STT daily returns,-0.034285226836088964,0.45925509015206956,STT,Financials,Royal Caribbean Cruises Ltd
SRCL daily returns,0.2789009565165622,0.4694222634434393,SRCL,Industrials,"S&P Global, Inc."
SYK daily returns,0.05754307338241569,0.3761681884895404,SYK,Health Care,Salesforce.com
SIVB daily returns,-0.10630413491935861,0.5155908382496434,SIVB,Financials,SBA Communications
SYF daily returns,-0.2519056449355933,0.5113815655043654,SYF,Financials,SCANA Corp
SNPS daily returns,0.3925092327687961,0.34809849193529663,SNPS,Information Technology,Schlumberger Ltd.
SYY daily returns,-0.17614098824722912,0.4826828148506959,SYY,Consumer Staples,Seagate Technology
TROW daily returns,0.15764473168182994,0.40551361271758896,TROW,Financials,Sealed Air
TTWO daily returns,0.18371178036391872,0.40282582465459343,TTWO,Information Technology,Sempra Energy
TPR daily returns,-0.6692568317371064,0.660282683771755,TPR,Consumer Discretionary,Sherwin-Williams
TGT daily returns,0.3864052638627835,0.3893356970844846,TGT,Consumer Discretionary,Simon Property Group Inc
FTI daily returns,-0.5557388796006442,0.6012004618517751,FTI,Energy,Skyworks Solutions
TXN daily returns,0.14779677778414577,0.383474155701405,TXN,Information Technology,SL Green Realty
CLX daily returns,0.19269647819935196,0.26906565886652256,CLX,Consumer Staples,Snap-On Inc.
COO daily returns,0.13604495113853396,0.3180635548376878,COO,Health Care,Southern Co.
HSY daily returns,0.24963710518397386,0.3244906455731226,HSY,Consumer Staples,Southwest Airlines
MOS daily returns,-0.6179912411060581,0.6097812040757016,MOS,Materials,Stanley Black & Decker
TRV daily returns,-0.060522140137099716,0.36538923163266446,TRV,Financials,Starbucks Corp.
DIS daily returns,-0.02704524384476699,0.36859994383583605,DIS,Consumer Discretionary,State Street Corp.
TMO daily returns,0.2498399764894532,0.3094601030254699,TMO,Health Care,Stericycle Inc
TIF daily returns,0.4625993248997331,0.4065535133653622,TIF,Consumer Discretionary,Stryker Corp.
TJX daily returns,0.08634466402313877,0.3626166537273408,TJX,Consumer Discretionary,SunTrust Banks
TSCO daily returns,0.09601431135232898,0.3158861485581601,TSCO,Consumer Discretionary,SVB Financial
TRIP daily returns,-0.707130663370525,0.4996120369494992,TRIP,Consumer Discretionary,Synchrony Financial
TSN daily returns,0.12507765206859753,0.40064978138617535,TSN,Consumer Staples,Synopsys Inc.
USB daily returns,-0.17952266004929485,0.37932871383721906,USB,Financials,Sysco Corp.
UDR daily returns,-0.03867163037644854,0.3205846367621071,UDR,Real Estate,T. Rowe Price Group
ULTA daily returns,-0.17691242511877708,0.5696281054524344,ULTA,Consumer Discretionary,Take-Two Interactive
UAA daily returns,-0.4638847300847481,0.5476178965677185,UAA,Consumer Discretionary,"Tapestry, Inc."
UNP daily returns,0.09901605436798899,0.36904929799882175,UNP,Industrials,Target Corp.
UAL daily returns,-0.7725106164034914,0.631377092450813,UAL,Industrials,TE Connectivity Ltd.
UNH daily returns,0.06051473321886016,0.4151458425550683,UNH,Health Care,TechnipFMC
UPS daily returns,0.04155672637816235,0.32163715716116026,UPS,Industrials,Texas Instruments
URI daily returns,0.10146276205196827,0.5562854676968932,URI,Industrials,Textron Inc.
UTX daily returns,-0.050809328375487885,0.3907660579104993,UTX,Industrials,The Bank of New York Mellon Corp.
UHS daily returns,-0.07218156511926112,0.49875261309054814,UHS,Health Care,The Clorox Company
UNM daily returns,-0.4325045720486136,0.578890161202369,UNM,Financials,The Cooper Companies
VFC daily returns,-0.13100330417453884,0.42186028183875357,VFC,Consumer Discretionary,The Hershey Company
VLO daily returns,-0.2970544701694467,0.502767902862439,VLO,Energy,The Mosaic Company
VAR daily returns,-0.05709845066109152,0.3613075212419124,VAR,Health Care,The Travelers Companies Inc.
VTR daily returns,-0.49187494837991474,0.5962712074175917,VTR,Real Estate,The Walt Disney Company
VRSN daily returns,0.21325164292814616,0.34748472039366685,VRSN,Information Technology,Thermo Fisher Scientific
VRSK daily returns,0.26218038730837145,0.31769456278552616,VRSK,Industrials,Tiffany & Co.
VZ daily returns,0.04231635596955652,0.22544239729474227,VZ,Telecommunication Services,TJX Companies Inc.
VRTX daily returns,0.33881957039793476,0.35256209168669667,VRTX,Health Care,Tractor Supply Company
V daily returns,0.19165104743209377,0.33705807202313987,V,Information Technology,TransDigm Group
VNO daily returns,-0.35416121682610724,0.3895828361385665,VNO,Real Estate,TripAdvisor
VMC daily returns,0.16282472196053766,0.3923494102043068,VMC,Materials,Twenty-First Century Fox Class A
WMT daily returns,0.21695715713646485,0.2528357131858233,WMT,Consumer Staples,Twenty-First Century Fox Class B
WBA daily returns,-0.3122401538294549,0.3836524979233153,WBA,Consumer Staples,Tyson Foods
WM daily returns,0.0677083927684314,0.2757853274846567,WM,Industrials,U.S. Bancorp
WAT daily returns,0.07078217054044407,0.3484765329106068,WAT,Health Care,UDR Inc
WEC daily returns,0.28341958275411994,0.3420479306448597,WEC,Utilities,Ulta Beauty
WFC daily returns,-0.34786063351029006,0.4066722003712146,WFC,Financials,Under Armour Class A
WELL daily returns,-0.26063592059316826,0.4818508593813079,WELL,Real Estate,Under Armour Class C
WDC daily returns,0.23702023471481767,0.6053960526703761,WDC,Information Technology,Union Pacific
WRK daily returns,-0.12687927067610333,0.4851579361671289,WRK,Materials,United Continental Holdings
WY daily returns,-0.057765130258024565,0.5085637195239251,WY,Real Estate,United Health Group Inc.
WHR daily returns,-0.06604533761550328,0.5082439228757296,WHR,Consumer Discretionary,United Parcel Service
WMB daily returns,-0.1736690365581569,0.4988981295281894,WMB,Energy,"United Rentals, Inc."
WYNN daily returns,-0.3054219775515795,0.6114869400058964,WYNN,Consumer Discretionary,United Technologies
XRX daily returns,0.0896827880894354,0.4740391952894323,XRX,Information Technology,"Universal Health Services, Inc."
XLNX daily returns,0.04288400085197654,0.4657904496528764,XLNX,Information Technology,Unum Group
XYL daily returns,0.03166652962536825,0.3688827714188809,XYL,Industrials,V.F. Corp.
YUM daily returns,-0.18815181446102747,0.343256233837215,YUM,Consumer Discretionary,Valero Energy
ZBH daily returns,-0.010241437357687832,0.3669418105811347,ZBH,Health Care,Varian Medical Systems
ZION daily returns,-0.2894246824012562,0.3428756354531458,ZION,Financials,Ventas Inc
ZTS daily returns,0.28158703709328475,0.3241983683271796,ZTS,Health Care,Verisign Inc.
