Date,UVXY,SPY,VXXBEN,VIX,UX1,UX2,UX3,UX4,Day of week,Days to Roll,UVXY % Change,SPY % Change,VXXBEN % Change,VIX % Change,UX1 % Change,UX2 % Change,UX3 % Change,UX4 % Change
2014-03-11,167200.0,187.23,1.4,14.8,15.55,16.1,16.7,17.2,2,6,0.02829028290282909,-0.004942602040816313,-0.28205128205128205,0.04225352112676073,0.016339869281045694,0.012578616352201255,0.015197568389057725,0.008797653958944274
2014-03-12,166975.0,187.28,1.5699999999999998,14.47,15.3,15.95,16.6,17.15,3,5,-0.0013456937799043445,0.00026705122042414153,0.12142857142857144,-0.022297297297297347,-0.01607717041800638,-0.009316770186335588,-0.0059880239520956335,-0.0029069767441860517
2014-03-13,180500.0,185.18,0.57,16.22,16.6,16.6,17.05,17.5,4,4,0.0810001497230124,-0.011213156770610855,-0.6369426751592356,0.12093987560469932,0.08496732026143805,0.040752351097178785,0.027108433734939652,0.020408163265306145
2014-03-14,190500.0,184.66,-0.48,17.82,17.7,17.1,17.25,17.65,5,3,0.05540166204986141,-0.0028080786262015822,-1.8421052631578947,0.09864364981504314,0.06626506024096379,0.030120481927710774,0.011730205278592365,0.008571428571428452
2014-03-17,172750.0,186.33,0.765,15.64,16.15,16.15,16.6,17.0,1,2,-0.09317585301837272,0.009043647785118791,-2.59375,-0.122334455667789,-0.08757062146892658,-0.05555555555555569,-0.03768115942028982,-0.03682719546742197
2014-03-18,159375.0,187.66,1.945,14.52,15.6,16.25,16.8,17.3,2,1,-0.07742402315484809,0.007137873665002958,1.5424836601307188,-0.07161125319693096,-0.034055727554179516,0.006191950464396356,0.012048192771084265,0.01764705882352935
2014-03-19,165225.0,186.66,1.5699999999999998,15.12,16.0,16.5,16.95,17.4,3,21,0.036705882352941144,-0.005328786102525851,-0.19280205655527005,0.04132231404958686,0.025641025641025772,0.01538461538461533,0.008928571428571397,0.005780346820809079
2014-03-20,163600.0,187.747,2.07,14.52,15.75,16.2,16.7,17.2,4,20,-0.009835073384778292,0.005823422265081035,0.31847133757961776,-0.03968253968253965,-0.015625,-0.018181818181818188,-0.014749262536873142,-0.011494252873563204
2014-03-21,165525.0,186.2,1.725,15.0,16.0,16.45,16.95,17.4,5,19,0.011766503667481665,-0.00823981208754343,-0.16666666666666652,0.03305785123966953,0.015873015873015817,0.015432098765432167,0.014970059880239583,0.011627906976744207
2014-03-24,166450.0,185.43,1.54,15.09,15.95,16.45,16.95,17.4,1,18,0.005588279716054911,-0.004135338345864548,-0.10724637681159421,0.006000000000000005,-0.0031250000000000444,0.0,0.0,0.0
