Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
James Proche,WR,SMU,College Stats,11-May,201,,34.5,20,,7.27,4.4,
Shaquille Quarterman,LB,Miami,College Stats,Jun-00,234,4.74,31,23,120,,,
Patrick Queen,LB,LSU,College Stats,Jun-00,229,4.5,35,18,125,,,
Jalen Reagor,WR,TCU,College Stats,11-May,206,4.47,42,17,138,7.31,4.46,
J.R. Reed,S,Georgia,College Stats,1-Jun,202,4.54,34,15,130,,,
Joe Reed,WR,Virginia,College Stats,Jun-00,224,4.47,38,21,123,,,
John Reid,CB,Penn St.,College Stats,10-May,187,4.49,36.5,20,129,6.95,3.97,
Chauncey Rivers,DL,Mississippi St.,College Stats,2-Jun,262,4.97,30.5,20,106,7.33,4.7,
Malcolm Roach,DL,Texas,College Stats,2-Jun,297,4.84,30,20,114,,,
Amik Robertson,CB,Louisiana Tech,College Stats,8-May,187,,,,,,,
Alton Robinson,DL,Syracuse,College Stats,3-Jun,264,4.69,35.5,25,119,7.32,4.32,
James Robinson,RB,Illinois St.,,9-May,219,4.64,40,24,125,7.03,4.19,
Kendrick Rogers,WR,Texas A&M,College Stats,4-Jun,208,4.51,35.5,17,124,7.13,4.48,
Cesar Ruiz,OL,Michigan,College Stats,3-Jun,307,5.08,33,28,113,7.91,4.64,
Jon Runyan,OL,Michigan,College Stats,4-Jun,306,5.08,30.5,24,107,7.57,4.69,
Chapelle Russell,LB,Temple,College Stats,2-Jun,236,4.69,35,21,121,7.38,4.41,
Stanford Samuels,CB,Florida St.,College Stats,1-Jun,187,4.65,,,,,,
Josiah Scott,CB,Michigan St.,College Stats,9-May,185,4.42,,17,,,,
Qaadir Sheppard,DL,Mississippi,College Stats,3-Jun,261,4.83,31.5,28,115,,,
Isaiah Simmons,LB,Clemson,College Stats,4-Jun,238,4.39,39,,132,,,
John Simpson,OL,Clemson,College Stats,4-Jun,321,5.24,30,34,107,8.03,4.87,
Arryn Siposs,P,Auburn,College Stats,2-Jun,213,5.09,,,,,,
James Smith-Williams,DL,North Carolina St.,College Stats,4-Jun,265,4.6,32,28,123,7.35,4.52,
L'Jarius Sneed,S,Louisiana Tech,College Stats,Jun-00,192,4.37,41,12,131,,,
Nate Stanley,QB,Iowa,College Stats,4-Jun,235,4.81,28.5,,108,7.26,4.48,
Terence Steele,OL,Texas Tech,College Stats,6-Jun,312,5.03,27.5,27,106,,5.08,
Logan Stenberg,OL,Kentucky,College Stats,6-Jun,317,5.3,26,,104,8,4.83,
Simon Stepaniak,OL,Indiana,College Stats,4-Jun,313,,,37,,,,
Darrell Stewart,WR,Michigan St.,College Stats,Jun-00,212,,35,15,117,,,
Geno Stone,S,Iowa,College Stats,10-May,207,4.62,33.5,12,116,,,
Justin Strnad,LB,Wake Forest,College Stats,3-Jun,238,4.74,29,,113,,4.49,
Jason Strowbridge,DL,North Carolina,College Stats,4-Jun,275,4.89,31,26,113,7.45,4.37,
Stephen Sullivan,TE,LSU,College Stats,5-Jun,248,4.66,36.5,,123,7.51,4.62,
Freddie Swain,WR,Florida,College Stats,Jun-00,197,4.46,36.5,16,124,7.05,4.26,
D'Andre Swift,RB,Georgia,College Stats,8-May,212,4.48,35.5,,121,,,
Tua Tagovailoa,QB,Alabama,College Stats,Jun-00,217,,,,,,,
Charlie Taumoepeau,TE,Portland St.,,2-Jun,240,4.75,36.5,18,121,7,4.27,
Alex Taylor,OL,South Carolina St.,,8-Jun,308,5.09,25,21,116,7.77,4.79,
Darrell Taylor,LB,Tennessee,College Stats,4-Jun,267,,,,,,,
Davion Taylor,LB,Colorado,College Stats,Jun-00,228,4.49,35,21,127,6.96,4.26,
J.J. Taylor,RB,Arizona,College Stats,5-May,185,4.61,34.5,19,118,7,4.15,
Jonathan Taylor,RB,Wisconsin,College Stats,10-May,226,4.39,36,17,123,7.01,4.24,
Patrick Taylor,RB,Memphis,College Stats,1-Jun,217,4.57,34,15,123,,4.34,
A.J. Terrell,CB,Clemson,College Stats,1-Jun,195,4.42,34.5,15,129,,,
