,returns,vol,NVDA,INCY,TSLA,XLNX,ALGN,CERN,LRCX,XEL,SWKS,MU
46,0.20546231155778893,0.17214747204639605,0.03107012375530312,0.057748891559575286,0.07226839259646334,0.08815505464399243,0.020000452431260494,0.11520042587337395,0.0,0.6155566591400313,0.0,8.023096076392733e-18
47,0.2064723618090452,0.17241815017978787,0.03262987375466765,0.05855164005609003,0.07344255100857387,0.08664732702500606,0.020775460439303374,0.11337500151679739,4.7704895589362195e-18,0.6145781461995617,3.645629804982509e-18,3.211948935988307e-18
48,0.2074824120603015,0.1726956395257769,0.0341899227786112,0.05935439375318148,0.07461657761687393,0.08513884046336304,0.021550520558778204,0.1115503193537098,0.0,0.6135994254754824,7.684282897491013e-18,2.8053731213062427e-18
49,0.2084924623115578,0.17297990595068352,0.03574951325506027,0.06015564218048608,0.07579335130335298,0.08363189207720925,0.02232202590710361,0.10972415535392965,0.0,0.6126234199228582,5.163512846462215e-18,2.5614276324970042e-18
50,0.20950251256281407,0.17327091438013156,0.03730766092801508,0.06095370176554674,0.076976113859806,0.08212953803769814,0.023085954406234187,0.10789358769667462,0.0,0.6116534433060252,0.0,1.0842021724855044e-18
51,0.21051256281407035,0.1735686336760308,0.03886582939615703,0.061751764899598105,0.07815883213566632,0.0806271620313317,0.023849941733769135,0.10606302212906567,0.0,0.6106834476744121,9.2970336290632e-18,0.0
52,0.21152261306532663,0.1738730293656861,0.04042401701972547,0.06254983758736682,0.07934150384940925,0.07912475881591828,0.02461398945613386,0.10423245934979004,4.689174395999807e-18,0.6097134339216562,0.0,7.020209066843641e-18
53,0.2125326633165829,0.1741840664484666,0.04198223273742015,0.06334791371379499,0.08052412355224488,0.07762233012695521,0.025378102255663445,0.1024018956765365,9.798477133837746e-18,0.6087434019373849,5.285485590866834e-19,0.0
54,0.2135427135678392,0.1745017094156625,0.043540471066015426,0.06414600479735552,0.0817066851899129,0.07611987841350039,0.026142286864840998,0.100571328945757,0.0,0.607773344722618,4.526544070126981e-18,5.9495594215142056e-18
55,0.2145527638190955,0.17482592226022411,0.04509873589766931,0.06494410156003559,0.08288919156013204,0.07461739958460355,0.026906543749840243,0.09874077870505246,0.0,0.6068032489426668,0.0,0.0
56,0.21556281407035177,0.17515666850264536,0.046657025737068474,0.06574221206120213,0.0840716351179812,0.0731148974126598,0.027670879452460082,0.09691022137958506,0.0,0.6058331288390433,3.1848438816761693e-18,4.228388472693467e-18
57,0.21657286432160805,0.1754939112039751,0.048215344763667435,0.06654033738410449,0.08525401435828961,0.07161235723730591,0.02843529369878563,0.09507966522906126,1.0150842839895535e-17,0.6048629873287856,0.0,9.784924606681678e-18
58,0.21758291457286433,0.17583761298968847,0.04977368892101834,0.06733847381142713,0.08643633007490649,0.07010979732044789,0.029199791105716348,0.09324912527516692,6.505213034913027e-19,0.6038927934913171,1.6805133673525319e-18,0.0
59,0.2185929648241206,0.1761877360554683,0.05133205717050758,0.06813662568950533,0.08761858187191825,0.06860719472692592,0.029964372277932416,0.09141857980183685,2.290377089375628e-18,0.6029225884613738,7.060866648311848e-18,0.0
60,0.21960301507537688,0.17654424220117773,0.05289044979043378,0.06893478829498664,0.08880076531718434,0.06710456960771632,0.030729046286016068,0.08958803027352105,5.9495594215142056e-18,0.6019523504301418,2.358139725155972e-18,7.399679827213568e-18
61,0.22061306532663316,0.17690709283889858,0.054448862797045146,0.06973296372024858,0.08998288830374161,0.06560190108562514,0.03149380577775666,0.0877574956925502,0.0,0.6009820826230329,5.908901840045999e-18,0.0
62,0.22162311557788944,0.17727624901049457,0.056007294956605905,0.07053115173936898,0.09116494950981127,0.06409920403122352,0.03225865167674755,0.08592696310914184,0.0,0.600011784977101,3.9979955110402976e-18,0.0
63,0.22263316582914572,0.17765167140971835,0.057565740976593074,0.0713293522431916,0.09234694903758398,0.06259645097259287,0.03302359475553943,0.08409642880811756,9.256376047594994e-18,0.5990414832063815,2.1955093992831465e-18,0.0
64,0.223643216080402,0.17803332039054015,0.059124194612266756,0.07212755985848956,0.09352889298189108,0.061093679392065885,0.03378862902715558,0.08226588125485927,9.608741753652783e-18,0.5980711628732719,0.0,0.0
